City,Latitude,Max_Temp,Humidity,Cloudiness,Wind_Speed
Ushuaia,-54.81,51.8,71.0,40.0,13.87
Punta Arenas,-53.16,57.2,76.0,75.0,10.29
Elmadag,39.92,30.2,86.0,75.0,2.24
Sungairaya,0.7,81.4,93.0,88.0,3.15
Hay River,60.82,-18.41,75.0,75.0,9.17
,,,,,
Busselton,-33.64,79.69,70.0,8.0,6.17
Arraial do Cabo,-22.97,78.34,86.0,8.0,17.13
Havoysund,71.0,19.4,85.0,0.0,14.99
Dingle,11.0,80.86,68.0,44.0,18.03
Albany,42.65,32.0,69.0,90.0,6.93
Japura,-0.42,81.67,80.0,20.0,2.93
Moron de la Frontera,37.12,48.2,100.0,90.0,2.24
Cotonou,6.37,76.09,92.0,0.0,4.72
Cape Town,-33.93,59.0,62.0,20.0,4.7
Panzhihua,26.59,56.74,57.0,0.0,3.6
Margate,-43.03,73.4,28.0,0.0,17.22
Hilo,19.71,75.02,76.0,75.0,10.29
Hermanus,-34.42,55.12,84.0,80.0,4.83
Lyndon,38.61,33.8,100.0,90.0,21.92
Zhireken,52.82,0.76,48.0,0.0,6.29
Puerto Ayora,-0.74,73.57,100.0,92.0,1.7
Road Town,18.42,73.04,75.0,1.0,4.7
Hervey Bay,-25.3,84.2,51.0,40.0,11.41
,,,,,
Yellowknife,62.45,-22.01,74.0,75.0,3.36
Saskatoon,52.13,-9.41,76.0,90.0,5.82
Qaqortoq,60.72,21.2,73.0,80.0,3.36
Rosetta,31.4,39.46,96.0,0.0,3.04
,,,,,
Mataura,-46.19,66.1,95.0,92.0,20.49
Hobart,-42.88,73.4,28.0,0.0,17.22
Katsuura,33.93,51.8,53.0,20.0,3.36
Araguaina,-7.19,76.45,88.0,44.0,6.29
Upata,8.02,74.2,76.0,48.0,9.08
Atbasar,51.81,4.99,58.0,32.0,5.06
Ojinaga,29.56,66.74,26.0,1.0,19.46
Ust-Charyshskaya Pristan,52.39,2.11,58.0,68.0,2.93
Brandon,43.59,5.0,75.0,75.0,18.34
Butaritari,3.07,82.75,100.0,68.0,6.4
Viedma,-40.81,69.7,26.0,0.0,14.56
Whitehorse,60.72,8.6,71.0,90.0,16.11
Westport,53.8,44.41,100.0,88.0,2.71
Nikolskoye,59.7,6.8,92.0,40.0,4.47
Souillac,45.6,44.6,93.0,92.0,10.29
Mazamari,-11.33,65.83,92.0,48.0,2.15
Sao Filipe,14.9,70.6,99.0,0.0,18.92
Hamilton,32.3,64.4,77.0,20.0,13.87
Rikitea,-23.12,80.5,98.0,64.0,13.44
,,,,,
Newcastle,-27.76,52.51,89.0,8.0,3.49
Ribeira Grande,38.52,63.58,95.0,48.0,19.26
Berlevag,70.86,15.25,100.0,88.0,6.96
Tsurugi,33.97,53.6,40.0,20.0,8.05
Mahajanga,-15.72,78.8,88.0,20.0,4.7
Glendive,47.11,-4.01,82.0,75.0,4.7
Sisimiut,66.94,-10.5,100.0,48.0,1.03
Kodiak,39.95,26.96,73.0,90.0,17.22
Fairbanks,64.84,-2.21,74.0,90.0,2.82
,,,,,
Cururupu,-1.82,79.42,85.0,92.0,6.96
Batsfjord,70.63,25.51,100.0,80.0,19.15
Okhotsk,59.36,-11.31,100.0,20.0,6.62
Diadema,-23.68,73.4,100.0,20.0,6.93
Hofn,64.25,36.31,100.0,92.0,8.75
Jamestown,-33.21,77.98,52.0,24.0,11.43
,,,,,
Tuktoyaktuk,69.44,-7.61,69.0,5.0,17.22
Mahebourg,-20.41,77.0,94.0,20.0,3.36
,,,,,
New Norfolk,-42.78,73.4,28.0,0.0,17.22
Juigalpa,12.1,73.84,80.0,48.0,12.33
Klaksvik,62.23,30.2,80.0,24.0,2.24
Vaini,15.34,71.6,59.0,0.0,4.05
Provideniya,64.42,21.91,100.0,92.0,2.37
Saint-Philippe,45.36,19.22,84.0,90.0,6.93
Qostanay,53.17,-9.41,83.0,40.0,4.16
Lesosibirsk,58.22,14.53,83.0,56.0,5.73
Mandurah,-32.55,96.8,25.0,0.0,10.29
Barrow,-38.31,55.57,74.0,0.0,8.08
Port Alfred,-33.59,65.56,87.0,0.0,22.39
Hasaki,35.73,51.8,23.0,20.0,13.87
Wuda,39.5,18.13,70.0,76.0,3.83
Kapaa,22.08,77.0,63.0,90.0,11.41
Kahului,20.89,73.94,81.0,40.0,10.29
Miles City,46.41,10.94,83.0,90.0,5.82
Bredasdorp,-34.53,57.2,71.0,64.0,5.82
Caravelas,-17.73,80.59,100.0,92.0,17.47
Atuona,-9.8,81.31,100.0,24.0,17.69
Sunrise Manor,36.21,55.04,53.0,75.0,2.37
Bluff,-23.58,87.61,47.0,68.0,11.43
Karratha,-20.74,101.2,30.0,8.0,7.85
Dikson,73.51,9.13,90.0,64.0,12.21
Chokurdakh,70.62,-35.79,0.0,76.0,3.49
Qaanaaq,77.48,-18.51,100.0,0.0,9.53
Octeville,49.63,42.8,93.0,90.0,13.87
Kabanjahe,3.1,82.4,78.0,75.0,4.7
,,,,,
East London,-33.02,62.6,72.0,20.0,18.34
Bay Roberts,47.58,23.0,73.0,90.0,11.41
Airai,-8.93,82.12,67.0,12.0,2.04
Mar del Plata,-46.43,63.04,61.0,0.0,3.49
Kalmunai,7.42,74.83,91.0,80.0,7.29
,,,,,
Huarmey,-10.07,64.75,91.0,8.0,3.38
Kokopo,-4.34,82.84,100.0,44.0,7.18
Pacific Grove,36.62,57.92,73.0,20.0,10.29
Thompson,55.74,-29.21,73.0,5.0,5.82
Vitim,59.44,5.53,72.0,80.0,7.63
Abapo,-18.83,64.48,82.0,80.0,2.82
Bilibino,68.06,-38.13,0.0,0.0,2.37
Kaitangata,-46.28,67.81,93.0,100.0,8.97
Kyabe,9.45,62.23,48.0,0.0,4.94
Ponta do Sol,-20.63,64.48,94.0,20.0,4.94
Victoria,5.28,89.6,70.0,75.0,5.82
Bambous Virieux,-20.34,77.0,94.0,20.0,3.36
Alofi,-19.06,84.2,79.0,92.0,10.29
Saldanha,41.42,28.84,91.0,80.0,2.93
Agadez,16.97,57.19,49.0,0.0,10.76
Faanui,-16.48,84.46,98.0,76.0,16.69
Aksu,52.04,6.8,92.0,0.0,11.18
Pevek,69.7,-10.23,89.0,64.0,21.94
Sorong,-0.86,81.13,100.0,80.0,4.05
Saint George,39.45,39.2,86.0,40.0,5.82
Ixtapa,20.71,71.6,100.0,5.0,2.24
Havre-Saint-Pierre,50.23,21.2,85.0,90.0,18.34
Egvekinot,66.32,-24.27,35.0,12.0,2.15
Tessalit,20.2,61.78,34.0,48.0,5.61
Mangrul Pir,20.31,59.89,59.0,0.0,4.27
Fort Nelson,58.81,-2.21,77.0,90.0,2.24
Khatanga,71.98,0.04,64.0,76.0,7.85
Hithadhoo,-0.6,79.69,100.0,100.0,11.99
Moose Factory,51.26,-29.21,66.0,1.0,6.93
High Level,58.52,-4.01,76.0,90.0,14.99
Bathsheba,13.22,77.0,73.0,40.0,12.75
Upernavik,72.79,-4.65,100.0,24.0,12.77
Luderitz,-26.65,62.5,63.0,0.0,23.17
Santa Maria,-29.69,66.28,99.0,92.0,11.65
Conceicao do Rio Verde,-21.88,65.11,99.0,88.0,2.71
Nantucket,41.28,35.96,89.0,20.0,5.82
San Cristobal,-0.39,55.4,81.0,75.0,17.22
Sangar,63.92,-35.25,0.0,32.0,2.59
Nemesnadudvar,46.34,26.5,97.0,44.0,3.71
Constitucion,23.99,59.0,30.0,75.0,6.93
Nieuwpoort,51.13,33.8,86.0,24.0,8.05
Fort Pierce,27.45,57.2,89.0,1.0,6.29
Tura,25.52,62.14,84.0,0.0,3.94
Wufeng,24.63,75.2,82.0,75.0,6.93
Muisne,0.61,71.59,97.0,92.0,2.59
Stromness,42.87,26.06,62.0,90.0,3.36
Dicabisagan,17.08,74.83,100.0,100.0,11.99
Erenhot,43.65,13.54,53.0,20.0,5.39
Carnarvon,-30.97,45.94,56.0,0.0,9.19
Bintulu,3.17,86.0,74.0,75.0,2.24
Tongchuan,34.9,41.0,32.0,68.0,2.24
Cherskiy,68.75,-24.45,37.0,64.0,6.62
Esperance,10.24,73.4,88.0,20.0,3.36
Hadejia,12.45,53.59,47.0,0.0,5.61
Springbok,-29.67,42.97,93.0,0.0,6.62
Veraval,49.65,33.8,92.0,0.0,10.29
Athabasca,54.72,-0.51,73.0,92.0,9.42
Turiacu,-5.01,76.81,94.0,76.0,3.6
Turukhansk,65.8,13.54,86.0,88.0,19.15
Rochegda,62.67,18.04,75.0,68.0,4.83
Alice Springs,-23.7,104.0,16.0,68.0,14.99
Bereda,43.27,48.2,93.0,40.0,11.41
Komsomolskiy,67.55,6.43,78.0,64.0,11.21
Arawa,7.05,72.58,93.0,0.0,3.71
Zhigansk,66.77,-32.19,56.0,32.0,6.62
Shimoda,34.7,53.6,53.0,75.0,5.82
Margherita,27.29,62.6,77.0,8.0,8.05
Folldal,62.14,3.64,72.0,68.0,4.27
Avarua,-21.21,84.2,74.0,75.0,4.7
Umm Kaddadah,13.6,52.78,32.0,0.0,11.54
Ostrovnoy,68.05,9.31,82.0,8.0,11.77
North Bend,43.41,55.04,96.0,90.0,10.29
Puerto Leguizamo,-0.19,71.95,98.0,56.0,0.92
Jiangyou,31.78,43.6,62.0,0.0,4.05
Luhyny,51.08,18.94,82.0,68.0,10.65
Kangaatsiaq,68.31,13.99,100.0,68.0,8.19
Tabou,4.42,78.61,100.0,68.0,2.15
,,,,,
Samarai,-10.62,81.76,100.0,76.0,5.95
Half Moon Bay,37.46,62.96,68.0,75.0,4.05
,,,,,
Garango,11.8,71.95,67.0,44.0,2.71
Moyale,3.52,57.91,63.0,0.0,5.39
Longyearbyen,78.22,-0.41,64.0,40.0,11.41
Grindavik,63.84,41.0,86.0,75.0,26.4
Palmer,-34.85,82.4,28.0,0.0,14.99
Portland,45.52,46.04,100.0,90.0,4.7
Laguna,27.52,64.66,42.0,0.0,5.39
Muros,42.77,44.6,100.0,90.0,6.93
Vila Velha,-3.71,78.8,94.0,75.0,3.36
Namatanai,-3.66,81.31,100.0,44.0,6.85
Srednekolymsk,67.46,-30.21,50.0,76.0,3.27
Lososina,49.0,15.16,86.0,0.0,13.0
Chenzhou,25.81,58.81,87.0,48.0,3.94
Florianopolis,-27.6,78.8,88.0,40.0,9.17
Millinocket,45.66,24.08,61.0,90.0,9.17
Madimba,4.42,78.8,100.0,75.0,2.24
Neya,58.29,24.43,96.0,56.0,18.25
Tasiilaq,65.61,23.0,85.0,92.0,39.15
Lorengau,-2.02,83.2,100.0,48.0,9.08
Polunochnoye,60.87,22.54,77.0,0.0,9.19
Jinja,0.44,62.59,87.0,20.0,1.48
Lebu,8.96,32.71,73.0,0.0,2.59
Miri,10.31,52.96,55.0,0.0,3.6
Port Lincoln,-34.72,70.6,78.0,36.0,11.99
Hundorp,61.55,7.6,74.0,88.0,2.71
Mnogovershinnyy,53.94,2.38,57.0,0.0,3.49
Phan Thiet,10.93,81.4,81.0,12.0,18.25
La Romana,18.43,77.0,78.0,40.0,4.61
Chiredzi,-21.05,67.99,91.0,48.0,3.83
Springfield,37.22,46.4,92.0,90.0,11.41
Muniz Freire,-20.46,63.4,91.0,8.0,4.61
Port Hedland,-20.31,100.4,35.0,8.0,12.75
Torbay,47.66,23.0,73.0,90.0,11.41
San Vicente,13.64,71.6,83.0,20.0,2.24
Sandnessjoen,66.02,30.2,92.0,88.0,11.41
Rovaniemi,66.5,8.6,84.0,75.0,3.36
Cordoba,5.59,47.2,80.0,24.0,1.36
Sitka,37.17,32.53,66.0,64.0,30.11
Port Elizabeth,39.31,35.96,96.0,90.0,2.82
Gramoteino,54.53,11.83,75.0,48.0,11.21
Luohe,33.57,39.82,91.0,68.0,11.77
Sobolevo,54.43,20.56,92.0,64.0,13.33
Quesnel,52.98,19.4,92.0,75.0,2.15
Geraldton,49.72,-32.81,66.0,5.0,2.82
Kununurra,-15.77,93.2,44.0,0.0,10.29
Gat,14.69,66.2,37.0,0.0,16.11
Luwuk,-0.95,83.29,85.0,76.0,2.37
Moron,10.49,68.53,97.0,88.0,2.82
Natal,-5.81,78.8,83.0,20.0,3.36
Hovd,63.83,35.6,86.0,75.0,21.92
Nong Chik,6.84,78.97,87.0,64.0,9.08
Edson,53.59,5.0,100.0,90.0,5.82
,,,,,
,,,,,
Alakurtti,66.96,5.71,71.0,36.0,2.37
Aswan,24.09,38.56,100.0,0.0,5.39
Rosarito,4.91,71.6,88.0,40.0,5.82
Lompoc,34.64,55.94,87.0,1.0,8.75
El Alto,-16.5,42.8,93.0,75.0,8.05
Haines Junction,60.75,-2.58,74.0,48.0,2.37
,,,,,
Xingcheng,40.62,27.85,35.0,76.0,4.16
Taft,11.9,78.88,93.0,92.0,16.46
Amberley,-43.15,86.0,37.0,92.0,23.04
Kroya,-6.5,78.34,94.0,64.0,5.39
Kupang,-10.16,84.2,79.0,40.0,6.93
Trinidad,-33.52,58.99,87.0,0.0,8.97
Chuy,-33.69,65.11,94.0,100.0,18.48
Kieta,-6.22,81.94,99.0,68.0,7.18
Bethel,60.79,5.0,79.0,1.0,14.99
Isangel,-19.55,78.52,100.0,68.0,20.49
Ambulu,-8.35,81.67,100.0,36.0,2.37
Martapura,-3.41,86.0,66.0,20.0,2.24
Ankang,32.73,36.04,56.0,64.0,2.26
,,,,,
Kerouane,12.23,59.08,45.0,0.0,4.38
,,,,,
Cap-aux-Meules,47.38,24.8,79.0,90.0,14.99
Rendsburg,54.3,32.0,100.0,8.0,2.24
Beringovskiy,63.05,0.76,100.0,80.0,7.18
Katangli,51.71,12.73,96.0,32.0,24.85
Leshukonskoye,64.9,17.41,82.0,80.0,4.72
San Quintin,17.54,81.58,67.0,0.0,2.93
,,,,,
Gwadar,25.12,67.18,100.0,64.0,4.16
Flinders,-34.58,71.6,73.0,90.0,11.41
Coquimbo,-29.95,60.8,87.0,75.0,4.7
Verkhnetulomskiy,68.61,-16.61,75.0,20.0,2.24
Fuerte Olimpo,-21.04,77.44,85.0,76.0,10.76
,,,,,
Usinsk,66.0,-2.49,60.0,24.0,2.93
,,,,,
Izumo,35.37,55.4,54.0,75.0,14.99
Lenger,42.18,42.8,93.0,90.0,2.24
Kushiro,43.11,32.0,47.0,20.0,11.41
Ganzhou,25.86,62.68,84.0,24.0,3.83
Kiama,-34.67,71.6,73.0,90.0,11.41
Wharton,53.2,39.2,94.0,90.0,6.93
,,,,,
Kidal,18.44,62.14,28.0,92.0,2.82
Akdepe,42.05,26.6,92.0,90.0,16.11
Kudahuvadhoo,2.67,79.42,100.0,44.0,8.97
Mackay,53.65,5.0,100.0,90.0,5.82
Obo,5.39,58.63,60.0,0.0,5.95
Mporokoso,-9.37,58.99,95.0,12.0,2.37
Clyde River,70.47,-18.41,68.0,1.0,11.41
Portmore,17.97,75.2,73.0,20.0,4.7
Georgetown,6.8,75.2,100.0,40.0,6.93
Tiksi,71.64,-44.16,0.0,0.0,2.93
