City,Latitude,Max_Temp,Humidity,Cloudiness,Wind_Speed
Ayacucho,-13.16,36.58,93.0,8.0,2.37
Grand Island,40.92,19.04,87.0,90.0,18.34
Mareeba,-16.99,84.2,74.0,75.0,12.75
Masvingo,-20.08,58.81,86.0,8.0,3.27
,,,,,
,,,,,
Solnechnyy,50.72,-3.57,63.0,0.0,2.37
Labuhan,-2.54,85.0,71.0,44.0,3.15
Luanda,-8.83,78.8,83.0,75.0,5.82
Mount Pleasant,33.16,64.4,87.0,75.0,10.29
Bowen,-20.01,84.2,62.0,40.0,17.22
Abdanan,32.99,26.14,89.0,0.0,1.92
Aklavik,68.22,-5.81,70.0,75.0,13.87
San Patricio,-26.98,70.51,90.0,92.0,8.52
,,,,,
Vinh Long,10.25,86.0,58.0,40.0,5.82
Quatre Cocos,-20.21,80.6,88.0,75.0,4.72
Pierre,44.37,3.02,83.0,90.0,9.17
Nguruka,-5.11,65.56,100.0,88.0,3.71
Gagino,54.27,30.19,90.0,68.0,14.79
Saint-Augustin,44.83,44.6,93.0,68.0,9.17
Hambantota,6.12,78.8,65.0,75.0,6.93
Shetpe,44.14,20.38,78.0,68.0,11.65
Duluth,46.77,1.4,59.0,75.0,9.19
Beloha,-25.17,73.21,91.0,32.0,3.38
Voh,-20.95,80.14,90.0,8.0,21.94
Castro,-42.48,59.0,72.0,0.0,12.75
College,64.86,1.94,81.0,90.0,2.82
Fortuna,38.18,48.2,49.0,0.0,13.87
Mount Isa,-20.73,105.8,18.0,0.0,12.75
Abu Zabad,12.35,56.56,36.0,0.0,12.44
Valparaiso,41.47,32.0,89.0,90.0,9.17
,,,,,
Siguiri,11.42,66.64,45.0,0.0,6.73
Chapleau,47.85,-22.56,32.0,0.0,3.04
Arman,59.7,-11.4,36.0,20.0,3.6
Razdolinsk,58.42,12.73,77.0,44.0,5.17
Attleboro,41.94,35.06,78.0,75.0,4.7
Bella Union,8.5,74.02,63.0,56.0,4.16
Chapais,49.78,-27.41,60.0,1.0,10.29
Deputatskiy,69.3,-53.25,0.0,12.0,2.59
Payo,-3.75,81.22,88.0,48.0,8.86
Port Blair,11.67,80.6,83.0,75.0,13.87
Rocha,-34.48,61.51,83.0,20.0,9.86
Shu,43.6,35.5,86.0,68.0,7.96
Bocanda,7.06,76.9,80.0,32.0,7.4
Hobyo,5.35,72.94,90.0,80.0,13.22
Flin Flon,54.77,-20.67,30.0,12.0,4.72
Hvide Sande,56.01,30.2,92.0,56.0,4.7
Chernyshevskiy,63.01,-3.93,76.0,88.0,5.95
Evensk,61.92,5.71,100.0,48.0,19.71
Cabo San Lucas,22.89,69.8,72.0,75.0,2.24
Touros,-5.2,77.0,88.0,40.0,4.7
Sinnamary,5.38,79.15,94.0,92.0,12.44
Vardo,39.62,37.4,88.0,90.0,3.36
Wewak,-3.55,81.31,85.0,88.0,2.82
Moses Lake,47.13,37.94,89.0,90.0,4.7
Ahipara,-35.17,75.64,64.0,0.0,10.42
Santa catarina de Tepehuanes,25.34,40.54,52.0,0.0,3.38
Palmas de Monte Alto,-14.26,74.38,58.0,0.0,12.77
Erzin,36.95,35.6,86.0,0.0,6.93
Iberia,-11.41,76.54,75.0,8.0,2.15
Yantal,56.85,11.56,73.0,80.0,7.29
Poyarkovo,49.62,3.73,63.0,76.0,5.61
Pisco,-13.71,69.8,88.0,0.0,9.17
Ust-Maya,60.42,-37.68,0.0,68.0,1.92
Kruisfontein,-34.0,62.23,83.0,64.0,25.08
Kulhudhuffushi,6.62,79.6,100.0,0.0,0.02
Sohna,28.25,51.8,93.0,20.0,3.36
Cidreira,-30.17,72.67,100.0,92.0,11.77
Najran,17.54,50.0,43.0,5.0,1.92
,,,,,
Tuatapere,-46.13,62.59,92.0,92.0,18.14
Roald,62.58,37.4,74.0,80.0,18.34
Yangambi,0.77,72.04,100.0,80.0,2.59
Acapulco,16.86,80.6,78.0,40.0,10.29
Mayo,63.59,-13.01,75.0,20.0,2.71
Senador Jose Porfirio,-2.59,78.61,91.0,36.0,5.39
Kalol,23.25,68.0,37.0,0.0,6.93
Beyneu,45.32,27.58,90.0,92.0,16.02
Chicama,-7.84,69.8,88.0,75.0,6.93
Lillooet,50.69,35.6,87.0,75.0,2.24
Russell,-33.01,66.2,68.0,0.0,3.38
Kishi,9.08,73.57,69.0,0.0,9.75
Kavaratti,10.57,81.31,100.0,0.0,4.61
Tomari,47.76,17.77,77.0,0.0,21.05
Yerbogachen,61.28,6.16,79.0,68.0,8.19
Fallon,46.84,-4.01,82.0,75.0,4.7
Braganca,-1.05,77.35,92.0,68.0,4.72
,,,,,
San Luis,-33.3,60.52,76.0,0.0,8.75
,,,,,
Broken Hill,-31.97,87.8,23.0,12.0,20.8
Yarovoye,52.92,16.06,78.0,80.0,12.66
Blacksburg,37.23,42.98,95.0,90.0,2.15
Hereford,52.06,39.1,96.0,88.0,6.17
Vanavara,60.35,7.96,80.0,80.0,7.63
Maragogi,-9.01,75.28,94.0,64.0,5.17
Ustye,58.76,9.31,84.0,44.0,8.08
,,,,,
Naze,5.43,72.76,91.0,0.0,6.96
Itigi,-5.7,61.78,99.0,92.0,4.27
,,,,,
Sabha,27.03,51.43,46.0,68.0,10.65
Yumen,40.29,19.93,96.0,88.0,3.83
Panukulan,14.93,79.96,91.0,88.0,18.25
Talnakh,69.49,13.9,83.0,76.0,16.69
Barao de Melgaco,-16.19,71.6,100.0,0.0,2.24
Marsa Matruh,31.35,33.25,73.0,0.0,2.48
Kabo,7.69,65.47,48.0,0.0,5.39
Makakilo City,21.35,78.98,55.0,1.0,5.82
Bedesa,8.9,40.45,79.0,0.0,1.92
Sterling,39.0,37.94,100.0,75.0,6.17
,,,,,
Peterhead,-34.83,82.4,28.0,0.0,14.99
Istanbul,41.01,48.2,76.0,0.0,6.93
Te Anau,-45.41,60.07,97.0,92.0,14.79
,,,,,
Anadyr,64.73,-5.81,83.0,40.0,11.18
Aykhal,65.95,-11.58,71.0,76.0,4.83
Sault Sainte Marie,46.49,-0.05,58.0,75.0,12.75
Moundou,8.57,60.07,71.0,0.0,3.49
Dinghai,26.28,64.4,55.0,0.0,6.71
,,,,,
Ust-Omchug,61.13,-29.04,42.0,12.0,2.59
,,,,,
Gayny,60.3,21.37,81.0,64.0,6.29
Gravdal,59.79,35.6,100.0,88.0,11.41
Aleksandrov Gay,50.14,23.08,89.0,88.0,8.63
Gamba,28.28,-6.81,41.0,0.0,3.15
Norman Wells,65.28,3.2,71.0,90.0,20.8
Khudumelapye,-23.91,68.89,72.0,8.0,11.65
Ziniare,12.58,75.2,27.0,92.0,3.36
Tromso,69.65,21.2,92.0,75.0,2.24
Broome,52.47,35.6,76.0,76.0,9.17
Naryan-Mar,67.67,-7.62,31.0,0.0,3.04
Abu Dhabi,24.47,66.2,63.0,20.0,9.17
Dankaur,28.35,55.4,82.0,12.0,4.7
Phangnga,8.45,86.0,58.0,20.0,17.22
Lamar,38.09,30.02,78.0,1.0,18.34
Methoni,36.82,41.0,93.0,20.0,6.06
,,,,,
Jojoima,7.88,71.23,93.0,0.0,2.93
Mecca,21.43,48.91,81.0,0.0,2.59
Colares,38.8,50.0,93.0,20.0,1.12
Sudak,44.85,37.84,100.0,56.0,7.63
Bara,10.41,59.26,34.0,0.0,7.63
Inverell,-29.78,87.34,53.0,0.0,3.38
Stolin,51.89,21.64,90.0,64.0,11.1
Vestmannaeyjar,63.44,41.8,97.0,56.0,22.62
Cabedelo,-6.97,77.0,88.0,20.0,3.36
,,,,,
Mayumba,-3.44,77.08,100.0,44.0,1.36
Mabai,23.01,52.51,99.0,76.0,2.59
Ughelli,5.49,74.74,95.0,0.0,6.51
Iracoubo,5.48,77.98,76.0,92.0,6.4
Padang,-0.92,86.0,70.0,0.0,3.36
,,,,,
Liverpool,53.41,39.2,96.0,90.0,6.93
,,,,,
,,,,,
Avera,33.19,57.2,80.0,90.0,5.82
Mount Gambier,-37.83,73.4,40.0,0.0,13.87
Nemuro,43.32,28.4,50.0,20.0,9.17
Petropavlovsk-Kamchatskiy,53.05,30.2,58.0,40.0,8.95
Mujiayingzi,42.12,20.56,36.0,44.0,7.18
Vagamo,61.88,17.41,85.0,68.0,4.16
Sharan,33.15,28.3,94.0,88.0,2.37
Ulaangom,49.98,-20.58,24.0,0.0,0.92
Atasu,48.68,20.2,67.0,92.0,11.43
Taixing,32.17,46.75,94.0,36.0,5.61
Kara-Tyube,44.63,13.36,65.0,0.0,2.93
Plettenberg Bay,-34.05,62.86,100.0,92.0,25.75
Dzerzhinsk,56.24,35.6,80.0,90.0,15.66
Alto Araguaia,-17.32,71.23,91.0,48.0,1.7
Umm Lajj,25.02,52.78,100.0,0.0,8.41
Krasnyy Chikoy,50.36,6.61,64.0,48.0,3.94
Lata,30.78,35.41,77.0,44.0,1.92
,,,,,
Muborak,39.25,30.37,81.0,8.0,4.83
,,,,,
Seymchan,62.93,-41.01,0.0,48.0,1.59
Rawson,-43.3,72.58,20.0,0.0,15.57
Bonthe,7.53,76.99,95.0,0.0,3.71
Abu Kamal,34.45,26.05,70.0,0.0,4.61
Ranong,9.96,86.0,66.0,75.0,9.17
Harrison,39.26,35.96,85.0,90.0,3.36
Bosaso,11.28,70.78,100.0,24.0,3.71
Sorland,67.67,34.15,100.0,64.0,20.83
Madrid,40.42,26.6,100.0,0.0,2.59
Graaff-Reinet,-32.25,48.1,84.0,0.0,3.71
Coahuayana,18.62,63.4,68.0,36.0,2.04
Chizhou,30.67,46.03,100.0,92.0,3.83
,,,,,
Nanortalik,60.14,28.21,94.0,80.0,37.38
Ketchikan,55.34,46.94,76.0,90.0,23.04
Doha,25.29,60.8,55.0,32.0,8.05
Mastic Beach,40.77,35.96,85.0,90.0,5.82
Codrington,-28.95,102.2,21.0,0.0,4.7
Raymondville,37.34,42.98,99.0,90.0,9.17
Sindor,62.87,13.63,73.0,36.0,6.51
Marawi,8.0,80.95,60.0,48.0,3.49
Onega,63.91,13.63,91.0,76.0,3.83
Iqaluit,63.75,-22.01,67.0,90.0,20.8
Vila Franca do Campo,37.72,60.8,93.0,75.0,14.99
Vila do Maio,15.13,68.0,64.0,40.0,13.87
Wuhu,31.35,46.4,75.0,90.0,8.95
Itarema,-2.92,71.95,100.0,64.0,3.27
,,,,,
Zakamensk,50.38,-10.41,61.0,24.0,3.04
Sola,58.89,32.0,86.0,40.0,8.05
Katherine,-14.47,91.4,55.0,40.0,2.24
Oranjestad,12.52,78.8,78.0,40.0,20.8
Savannah Bight,16.45,78.43,99.0,80.0,8.86
Faya,18.39,51.8,87.0,20.0,2.82
Sabang,13.72,80.59,79.0,48.0,16.46
Midyat,37.42,32.0,92.0,40.0,3.36
Salalah,17.01,73.4,60.0,0.0,3.36
Banjar,-7.37,81.94,82.0,76.0,3.71
Shingu,33.72,53.6,46.0,20.0,6.93
,,,,,
Kudat,6.89,82.4,78.0,75.0,11.41
Garowe,8.41,60.7,95.0,88.0,5.17
Nyurba,63.29,-31.11,0.0,12.0,3.04
Narsaq,60.91,21.2,73.0,36.0,3.36
Tanda,31.67,44.5,85.0,76.0,3.15
,,,,,
Pilar,-34.46,68.0,68.0,40.0,6.93
Sawtell,-30.38,98.6,54.0,20.0,20.8
Namibe,-15.19,73.93,100.0,56.0,7.18
,,,,,
Lagoa,37.14,53.6,93.0,20.0,9.17
Matara,-13.74,40.0,96.0,8.0,1.92
Rio Grande,-32.03,67.99,100.0,80.0,25.19
Tornio,61.12,3.2,84.0,5.0,4.7
Eureka,40.8,57.02,100.0,90.0,19.46
Tual,-5.67,82.93,100.0,68.0,13.89
Bubaque,11.28,77.08,100.0,0.0,19.15
Verkhnechusovskiye Gorodki,58.17,24.34,86.0,80.0,14.0
Dalbandin,28.9,54.31,88.0,64.0,6.17
Nizwa,22.93,45.76,79.0,0.0,2.48
Ancud,-41.87,59.0,72.0,0.0,12.75
Kloulklubed,7.04,84.2,79.0,90.0,29.77
Leningradskiy,69.38,-3.84,91.0,80.0,29.55
Port Moresby,-9.47,87.8,66.0,40.0,11.41
Cedar City,37.68,28.94,71.0,1.0,1.92
Colquechaca,-18.7,47.2,91.0,80.0,2.04
Riyadh,24.63,42.8,56.0,0.0,2.24
Saskylakh,71.97,-19.77,57.0,64.0,15.23
Bitung,1.44,87.8,62.0,20.0,9.17
Iskateley,67.68,-6.81,30.0,0.0,4.38
Eregli,37.51,-0.6,39.0,0.0,2.59
,,,,,
Anloga,5.79,80.6,88.0,20.0,6.93
Saint-Pierre,48.95,24.8,92.0,0.0,5.82
,,,,,
Port Hardy,50.7,44.6,87.0,90.0,26.4
Ouadda,8.07,64.21,46.0,0.0,9.19
Gao,16.28,63.67,49.0,8.0,8.75
Northam,51.04,42.8,100.0,92.0,8.05
Pauini,-7.71,75.91,94.0,68.0,4.16
Kavieng,-2.57,84.73,100.0,80.0,9.31
West Odessa,31.84,57.92,27.0,1.0,25.28
,,,,,
Rizhao,35.43,41.98,69.0,64.0,5.28
,,,,,
Belmonte,40.36,33.7,82.0,92.0,1.59
Malanje,-9.54,67.27,86.0,80.0,6.29
Dhone,15.4,68.26,79.0,0.0,4.38
Yulara,-25.24,96.8,26.0,56.0,11.41
Ryotsu,38.08,46.4,42.0,40.0,17.22
Cam Ranh,11.92,84.2,62.0,40.0,16.11
Yar-Sale,66.83,0.4,94.0,12.0,5.17
Buchanan,5.88,79.96,100.0,48.0,5.17
Praia da Vitoria,38.73,62.6,82.0,40.0,24.52
Boguchany,58.38,14.62,71.0,68.0,6.06
Piranshahr,36.7,12.64,74.0,0.0,1.36
,,,,,
Pundaguitan,6.37,81.76,96.0,80.0,9.31
,,,,,
Inirida,3.87,73.48,97.0,36.0,2.04
Talcahuano,-36.72,57.2,93.0,0.0,5.82
Sarakhs,36.54,33.8,86.0,0.0,3.49
Pusad,19.91,62.5,50.0,0.0,9.42
Ullapool,57.9,34.51,100.0,0.0,7.96
Talas,38.69,3.2,91.0,0.0,2.71
Sume,43.62,33.8,94.0,75.0,1.12
Banjarmasin,-3.32,86.0,66.0,20.0,2.24
,,,,,
Raudeberg,61.99,39.2,100.0,92.0,17.22
Ornskoldsvik,63.29,14.0,78.0,12.0,8.05
Biak,-0.91,83.29,85.0,76.0,2.37
Ludvika,60.15,19.4,79.0,0.0,8.05
Provost,52.35,2.11,64.0,76.0,9.19
Monrovia,6.33,75.19,95.0,0.0,2.71
Henties Bay,-22.12,61.24,100.0,24.0,0.25
Lincoln,53.23,37.4,91.0,75.0,9.17
Chara,39.42,39.2,86.0,40.0,5.82
Vetlanda,57.43,21.2,92.0,0.0,3.36
Green Valley,40.41,34.16,81.0,90.0,12.75
Oil City,41.43,26.06,88.0,90.0,3.04
Rembang,-6.71,80.14,100.0,48.0,1.92
Manicore,-5.81,75.37,97.0,56.0,2.04
Ende,-8.84,80.5,100.0,20.0,4.38
Kajaani,64.22,1.4,84.0,90.0,4.7
Tigzirt,36.57,40.45,100.0,92.0,2.15
Bima,-8.45,76.18,100.0,92.0,2.93
Harrisonville,38.65,35.6,93.0,90.0,13.87
,,,,,
Salinas,36.67,55.94,77.0,1.0,6.93
Fayaoue,-20.65,79.6,98.0,8.0,17.47
Artyom,43.36,26.6,13.0,0.0,2.24
